MatID,Quantity,Purchase_Date,Supplier ID,Unit Cost
TSC20,29,11/23/06,Supplier D,8.78
NTDA40,137,11/25/06,Supplier E,43.59
TWD40,169,11/25/06,Supplier D,18.38
TWD40,82,11/25/06,Supplier D,18.39
GT151,193,11/26/06,Supplier C,1.7
TR80,198,11/26/06,Supplier H,16.49
BYC104,180,11/27/06,Supplier H,12.73
STC50,57,11/28/06,Supplier C,9.23
TCC17,61,11/28/06,Supplier B,13.52
NTCDA10,73,11/29/06,supplierA,22.61
RUBBER_RG1,62,11/30/06,Supplier B,17.58
TWD40,125,11/30/06,Supplier H,18.09
TWD40,176,11/30/06,Supplier D,18.93
TMRD40,58,12/1/06,Supplier C,9.66
TWD40,93,12/1/06,Supplier A,18.12
GT151,107,12/2/06,Supplier C,2.08
PEN237,71,12/4/06,Supplier C,7.44
CBX12,70,12/6/06,Supplier B,7.54
DATM10,13,12/6/06,Supplier F,15.54
TCC17,53,12/7/06,Supplier B,13.54
TWD40,112,12/7/06,Supplier D,18.65
TCC17,82,12/9/06,Supplier B,11.74
GT151,156,12/10/06,Supplier C,1.71
NTCM123,168,12/10/06,Supplier G,14.54
PLAS30,24,12/10/06,Supplier D,11.03
RUBBER_RG1,70,12/10/06,Supplier B,21.22
STC50,118,12/10/06,Supplier E,8.4
HYB50,50,12/11/06,Supplier C,17.01
MZL50,129,12/11/06,Supplier F,25.66
PEN237,93,12/11/06,Supplier E,7.21
RUBBER_RG1,100,12/11/06,Supplier B,17.42
TWD40,107,12/11/06,Supplier A,18.99
NTCDA10,34,12/12/06,supplierA,22.38
PEN237,24,12/12/06,Supplier C,8.49
TFC48,128,12/13/06,Supplier E,31.3
TG120,169,12/14/06,Supplier D,32.74
PLAS30,30,12/15/06,Supplier F,10.82
PLAS30,29,12/15/06,Supplier D,10.83
RUBBER_RG1,79,12/15/06,Supplier H,18.65
NTC34,217,12/16/06,Supplier A,41.53
TSS90,132,12/16/06,Supplier B,15.9
HYB50,46,12/17/06,Supplier C,16.84
PEN320,99,12/17/06,Supplier A,10.16
PEN237,40,12/18/06,Supplier B,7.99
RUBBER_RG1,112,12/18/06,Supplier B,19.63
TWD40,117,12/18/06,Supplier A,17.91
TWD40,120,12/19/06,Supplier A,18.89
BYC104,139,12/20/06,Supplier B,12.14
RUBBER_RG1,108,12/20/06,Supplier H,20.71
CBX12,49,12/21/06,Supplier B,7.99
PEN237,92,12/21/06,Supplier C,7.28
PLAS30,13,12/22/06,Supplier D,10.33
RUBBER_RG1,118,12/22/06,Supplier H,18
TMM40,68,12/22/06,Supplier B,63.33
BYC104,147,12/23/06,Supplier B,11.81
GT151,221,12/24/06,Supplier F,1.34
TOO17,38,12/25/06,Supplier C,16.82
GT151,190,12/26/06,Supplier F,1.95
PEN320,120,12/26/06,Supplier A,9.69
TSS90,178,12/26/06,Supplier B,16.38
TWD40,140,12/26/06,Supplier D,18.47
CBX12,47,12/27/06,Supplier B,7.5
MZL50,51,12/27/06,Supplier F,26.97
CBX12,25,12/28/06,Supplier B,7.62
TMRD40,69,12/28/06,Supplier C,9.25
TMM40,125,12/29/06,Supplier A,64.38
MZL50,92,12/30/06,Supplier E,26.86
NTC34,230,12/30/06,Supplier A,42.15
PEN320,183,12/30/06,Supplier B,9.71
